@Unicode	
@Begin	
@Languages: English	
@Participants: *MOT Target_Mother *CHI Child	
@ID: eng|Lara|MOT|||||Target_Mother|||	
@ID: eng|Lara|CHI|||||Child|||	
@Date: 	
@Location:	
@Comment: Filename: VS021_Narration Transcript_Yezhou.txt	
@Comment: 288 seconds	
@Comment: transcribed by Yezhou	
@Situation:	
@Start	
*MOT	okay come
*MOT	shall we read have you seen my duckling
*MOT	where is the duckling
*MOT	and this one
*MOT	this is the mama duck
*MOT	ya mama duck
*MOT	early one morning
*MOT	oh how many ducks are there
*MOT	can you count
*MOT	can you see the mama duck
*MOT	where is the mama duck
*MOT	it s not there
*MOT	can you count how many ducklings there are
*MOT	let s count
*MOT	come one this one two
*MOT	ya seven ducks
*MOT	what about that one
*MOT	what s that
*MOT	ya that s correct
*MOT	oh what s happen
*MOT	what s that
*MOT	okay what s the mama duckling doing
*MOT	swimming and then who this
*MOT	okay can you count how many baby ducks are there
*MOT	can we count together
*MOT	ya you take your hand count together come on
*MOT	oh this is
*MOT	haha that s not ten
*MOT	that is only seven
*MOT	what s the mama duck doing
*MOT	what she doing
*MOT	she hugging with the little ducks
*MOT	no what she doing
*MOT	is she hugging the little duck
*MOT	oh the baby duck cannot swim
*MOT	you want to teach the baby duck how to swim
*MOT	oh look
*MOT	what s happening
*MOT	you can swim you
*MOT	oh this little duck swim
*MOT	oh this little duck is getting into the water
*MOT	why is the little duck getting into the water
*MOT	then what s gonna happen
*MOT	oh she s asking
*MOT	have you seen my duckling
*MOT	ya who s that
*MOT	the bird
*MOT	so the mama duck s asking
*MOT	have you seen my duckling
*MOT	right
*MOT	have you seen the duckling
*MOT	where s the duckling
*MOT	that s the bird
*MOT	where s the missing duckling
*MOT	that s the mama duck
*MOT	where s the missing duckling
*MOT	wait you count how many ducklings are there first
*MOT	oh that s the missing duckling there right
*MOT	the missing duckling is hiding 
*MOT	and then what s happening now
*MOT	she s asking
*MOT	have you seen my duckling
*MOT	who she asking
*MOT	is that the crab
*MOT	i think it looks like a tortoise okay
*MOT	this is the tortoise
*MOT	and what s this
*MOT	this is the beaver
*MOT	the beaver
*MOT	who is that
*MOT	and this one
*MOT	and where s the little naughty duckling
*MOT	where s the little naughty duckling hiding
*MOT	can you see the little naughty duckling hiding
*MOT	is that the little naughty ya okay
*MOT	going swimming i think it s because they are out of the pond
*MOT	oh look at that
*MOT	ya where s the mama duck
*MOT	ya and then how many ducklings are there can we count
*MOT	let me count this one
*MOT	this is one
*MOT	oh that one there and who s this
*MOT	frog jumping into the
*MOT	that s right
*MOT	oh look at that
*MOT	she go under the water and she ask have you seen my duckling right
*MOT	ya where s all the ducks
*MOT	and who s this
*MOT	and then this one
*MOT	the turtle that s not the crab
*MOT	that s the turtle
*MOT	and who s that
*MOT	and how many ducklings are there
*MOT	can you count
*MOT	how many ducklings
*MOT	ya the ducklings are looking under the water right
*MOT	and she asked again
*MOT	mama duck asked
*MOT	have you seen my duckling
*MOT	where s the duckling
*MOT	she asks what s this
*MOT	this looks like a swamp
*MOT	does it look like a swamp
*MOT	so let s count how many ducklings are there
*MOT	oh the duck not move
*MOT	mama help you move okay
*MOT	and what s this
*MOT	where s the missing duckling
*MOT	can you see the naughty duckling
*MOT	where s the naughty duckling hiding
*MOT	that s not there
*MOT	it s here 
*MOT	where is missing duckling
*MOT	ya the naughty duckling just like butterfly
*MOT	and the mama duckling looks behind and what has she found
*MOT	the butterfly inside the flower
*MOT	yay look all the ducklings are together again right
*MOT	ya all of them are swimming
*MOT	ya everybody s swimming
*MOT	that s not a crab 
*MOT	that s a turtle
*MOT	okay can you can we count 
*MOT	what s this
*MOT	the big flower right
*MOT	how many flowers are there
*MOT	the flower sleeping
*MOT	and look is it night time now
*MOT	is it night time and what s this
*MOT	ya the baby ducks are sleeping right like the mama duck
*MOT	ya the frog is gonna sleep as well 
